statecode,countycode,fipscode,state,county,state_name,state_fips,statename,hsgrad_2010,hsgrad_2011,hsgrad_2012,hsgrad_2013,hsgrad_2014,hsgrad_2015,hsgrad_2016,hsgrad_2017,hsgrad_2018,hsgrad_2019,lbw_2010,lbw_2011,lbw_2012,lbw_2013,lbw_2014,lbw_2015,lbw_2016,lbw_2017,lbw_2018,lbw_2019,obese_2010,obese_2011,obese_2012,obese_2013,obese_2014,obese_2015,obese_2016,obese_2017,obese_2018,obese_2019,fphealth_2010,fphealth_2011,fphealth_2012,fphealth_2013,fphealth_2014,fphealth_2015,fphealth_2016,fphealth_2017,fphealth_2018,fphealth_2019,foodinsecurity_2010,foodinsecurity_2011,foodinsecurity_2012,foodinsecurity_2013,foodinsecurity_2014,foodinsecurity_2015,foodinsecurity_2016,foodinsecurity_2017,foodinsecurity_2018,foodinsecurity_2019,noprek_2010,noprek_2011,noprek_2012,noprek_2013,noprek_2014,noprek_2015,noprek_2016,noprek_2017,noprek_2018,noprek_2019,nprof_read_2010,nprof_read_2011,nprof_read_2012,nprof_read_2013,nprof_read_2014,nprof_read_2015,nprof_read_2016,nprof_read_2017,nprof_read_2018,nprof_math_2010,nprof_math_2011,nprof_math_2012,nprof_math_2013,nprof_math_2014,nprof_math_2015,nprof_math_2016,nprof_math_2017,nprof_math_2018,nprof_read_2019,nprof_math_2019,cigarette_2010,cigarette_2011,cigarette_2012,cigarette_2013,cigarette_2014,cigarette_2015,cigarette_2016,cigarette_2017,cigarette_2018,cigarette_2019,marijuana_2010,marijuana_2011,marijuana_2012,marijuana_2013,marijuana_2014,marijuana_2015,marijuana_2016,marijuana_2017,marijuana_2018,marijuana_2019,juvarrests_pct_2010,juvarrests_pct_2011,juvarrests_pct_2012,juvarrests_pct_2013,juvarrests_pct_2014,juvarrests_pct_2015,juvarrests_pct_2016,juvarrests_pct_2017,juvarrests_pct_2018,juvarrests_pct_2019
10,1,10001,DE,Kent County,DELAWARE,10,Delaware,0.7721404,0.7680169,0.774705,0.8007187,,0.8548218,,0.9008417,0.8816667,0.8750378,0.088,0.086,0.0852847,0.0847697,0.0845125,,0.0888262,0.0903021,0.0914445,0.0919586,0.153114,0.152055,0.157368,0.156456,0.158592,0.160888,0.169566,0.186624,,0.200232,0.024613,0.0204,0.019992,,0.018212,0.0205625,0.0183902,0.0187662,0.0218617,0.02189,0.186,0.173,0.18,0.195,0.19,0.178,0.172,0.173,0.191,0.183,0.546,0.568,0.567,0.6,0.59,0.56,0.522,0.535,0.487,0.512,0.648063,0.6236764,0.6019275,0.5920724,0.5966828,0.5816175,0.5811986,0.5803471,0.6148357,0.637359,0.6202326,0.5975275,0.5632516,0.5914231,0.6110196,0.6171332,0.623673,0.6183882,,,0.0912702,0.0873351,0.0834,0.0758051,0.0682103,0.0536353,0.0390603,0.0356086,0.0321569,0.0267312,0.1377063,0.1442531,0.1508,0.1564601,0.1621201,0.1545595,0.1469988,0.1445501,0.1421013,0.1343431,0.0874197,0.124962,0.088859,0.0761964,0.0674298,0.0662341,0.0601538,0.0631096,0.0596473,0.0586291
10,3,10003,DE,New Castle County,DELAWARE,10,Delaware,0.7700246,0.7903176,0.8043343,0.7996879,,0.8529459,,0.876866,0.866491,0.9033139,0.095,0.093,0.0911634,0.0900635,0.0877241,,0.0883535,0.0880968,0.0891388,0.0904439,0.120951,0.120435,0.127032,0.132129,0.137824,0.137088,0.137473,0.146772,,0.16038,0.018908,0.015096,0.01496,,0.014964,0.0189723,0.0159075,0.0166319,0.0172688,0.0187,0.159,0.15,0.154,0.164,0.155,0.15,0.148,0.153,0.151,0.139,0.466,0.45,0.448,0.436,0.44,0.461,0.467,0.457,0.472,0.46,0.6645589,0.6617505,0.6428072,0.624216,0.6284305,0.6470898,0.6513457,0.6509641,0.6790962,0.6373545,0.6389935,0.6318098,0.5990602,0.6266954,0.6524104,0.6834462,0.7036178,0.6891763,,,0.0820934,0.0818491,0.0816047,0.0711902,0.0607757,0.0464953,0.032215,0.0272145,0.0222141,0.0175053,0.1467435,0.1572899,0.1678363,0.1595417,0.151247,0.1437359,0.1362248,0.1448757,0.1535266,0.1379069,0.0683922,0.1162195,0.0702928,0.0585444,0.0507921,0.051397,0.0504438,0.0442974,0.0450114,0.039084
10,5,10005,DE,Sussex County,DELAWARE,10,Delaware,0.8145332,0.8070351,0.8196712,0.82562,,0.8609462,,0.8854251,0.8667719,0.8722763,0.079,0.08,0.0789985,0.0762122,0.0760311,,0.0779886,0.0779524,0.0778961,0.0815245,0.135447,0.142755,0.147888,0.14787,0.149152,0.154224,0.157591,0.161838,,0.171558,0.022983,0.019176,0.019856,,0.01798,0.0192584,0.0178828,0.0176356,0.0196406,0.02046,0.198,0.19,0.202,0.209,0.196,0.18,0.177,0.172,0.179,0.164,0.61,0.602,0.597,0.629,0.606,0.635,0.63,0.616,0.57,0.579,0.619462,0.6121117,0.6107484,0.5957661,0.6175129,0.6127495,0.5936995,0.5901266,0.6104757,0.5867811,0.563159,0.5600062,0.5351045,0.5852964,0.6250985,0.6129903,0.6060097,0.5827618,,,0.1013972,0.0951986,0.089,0.0818406,0.0746812,0.0588515,0.0430218,0.0352934,0.027565,0.0261251,0.1534987,0.1627993,0.1721,0.1629674,0.1538348,0.1461596,0.1384843,0.1322033,0.1259223,0.1168291,0.0945795,0.1197566,0.0775281,0.0704571,0.0651971,0.0650373,0.0608056,0.0452638,0.0521284,0.0460129
11,1,11001,DC,District of Columbia,DISTRICT OF COLUMBIA,11,District of Columbia,0.59,0.5862436,0.5920864,0.6222355,,0.684473,,0.7236731,0.7015072,0.6899682,0.108,0.107,0.1050314,0.1021427,0.1003751,,0.09952,0.0999157,0.0992557,0.0996261,0.09513,0.099975,0.104754,0.106848,0.107616,0.109956,0.112565,0.11664,,0.13365,0.020538,0.016864,0.016592,,0.014732,0.0152672,0.0141974,0.0129035,0.0152741,0.01694,0.30741483,0.277,0.275,0.273,0.255,0.237,0.216,0.211,0.18,0.165,0.324,0.297,0.286,0.269,0.219,0.214,0.204,0.205,0.208,0.213,0.8459252,0.826254,0.7997341,0.7734076,0.7646748,0.7313673,0.7329275,,0.7278472,0.8403124,0.8156326,0.7890229,0.7402179,0.7503619,0.7344846,0.7407727,0.7022065,0.7155975,,,0.0611036,0.0591518,0.0572,0.0502707,0.0433415,0.033369,0.0233965,0.0219708,0.020545,0.0137658,0.1412569,0.1581784,0.1751,0.1792099,0.1833197,0.1667325,0.1501452,0.1530413,0.1559375,0.1507656,0.060229,0.1041554,0.0487131,0.0495333,0.043404,0.0310571,0.0307446,0.027595,0.0244935,0.0208135
12,1,12001,FL,Alachua County,FLORIDA,12,Florida,0.634,0.6452678,0.7043365,0.743127,,0.7521533,,0.8421794,0.8848638,0.884559,0.089,0.088,0.0881294,0.0870552,0.0883611,,0.0903191,0.0947133,0.0989706,0.1017937,0.114156,0.11439,0.119922,0.122112,0.121776,0.120428,0.127893,0.132192,,0.157464,0.019886,0.019312,0.019856,,0.019024,0.0192074,0.0210465,0.0174383,0.0187729,0.02057,0.216,0.208,0.218,0.233,0.242,0.218,0.209,0.201,0.182,0.165,0.379,0.414,0.383,0.416,0.427,0.441,0.469,0.473,0.513,0.476,0.632264,0.6166723,0.5932929,0.5667882,0.5732309,0.5580952,0.5575019,0.5391867,0.5688106,0.6140817,0.6088451,0.6031757,0.576493,,0.6050888,0.5943894,0.5652347,0.5722183,,,0.0751005,0.0724503,0.0698,0.0646827,0.0595654,0.0526221,0.0456788,0.0420539,0.0384291,0.0341864,0.1132395,0.1219198,0.1306,0.1413801,0.1521601,0.1478912,0.1436222,0.1340564,0.1244907,0.1200098,0.0568727,0.1131224,0.0505468,0.0484864,0.057668,0.0403735,0.0347845,0.0368259,0.0295932,0.0305966
12,7,12007,FL,Bradford County,FLORIDA,12,Florida,0.611,0.61,0.64,0.675,,0.775,,0.8053097,0.875,0.875,0.101,0.099,0.1052852,0.1087329,0.1072695,,0.1088561,0.1090564,0.1116458,0.1128481,0.161721,0.166935,0.176328,0.171243,0.168032,0.17612,0.175314,0.180306,,0.185166,0.023961,0.020536,0.019992,,0.018096,0.0188676,0.0221802,0.0223663,0.0257995,0.0286,0.247,0.24,0.255,0.244,0.251,0.236,0.224,0.217,0.251,0.255,0.469,0.419,0.28,0.257,0.271,0.171,0.347,0.571,0.648,0.663,0.7204465,0.7279171,0.7248806,0.7135537,0.6705492,0.6509255,0.6374552,0.6857141,0.6952963,0.7295881,0.7479065,0.7614372,0.7260687,,0.739617,0.6342851,0.6755837,0.6737944,,,0.0751005,0.0724503,0.0698,0.0646827,0.0595654,0.0526221,0.0456788,0.0420539,0.0384291,0.0341864,0.1132395,0.1219198,0.1306,0.1413801,0.1521601,0.1478912,0.1436222,0.1340564,0.1244907,0.1200098,0.0741131,0.1113429,0.0512669,0.0576113,0.0398695,0.0567147,0.0493856,0.0422244,0.0272433,0.0348166
12,3,12003,FL,Baker County,FLORIDA,12,Florida,0.65,0.65,0.73,0.72,,0.82,,0.8145897,0.76,0.79,0.088,0.095,0.0899431,0.0922068,0.0927835,,0.0981443,0.0938023,0.0951782,0.1001663,0.166251,0.172515,0.175854,0.170766,0.162368,0.174692,0.181541,0.186138,,0.158436,0.039772,0.032776,0.039304,,0.01682,0.0180925,0.0217195,0.0197339,0.0226824,0.02475,0.265,0.249,0.246,0.258,0.264,0.238,0.229,0.214,0.207,0.166,0.743,0.679,0.751,0.7,0.726,0.691,0.7,0.563,0.528,0.455,0.6317202,0.622241,0.6004739,0.5805258,0.6015308,0.640803,0.6178849,0.6294655,0.649582,0.6021085,0.6025219,0.606329,0.5658286,,0.607303,0.5513631,0.5666974,0.5979997,,,0.0751005,0.0724503,0.0698,0.0646827,0.0595654,0.0526221,0.0456788,0.0420539,0.0384291,0.0341864,0.1132395,0.1219198,0.1306,0.1413801,0.1521601,0.1478912,0.1436222,0.1340564,0.1244907,0.1200098,0.0584601,0.0698561,0.0468146,0.0264305,0.0384473,0.0316413,0.0340888,0.0316474,0.0347631,0.0293647
12,125,12125,FL,Union County,FLORIDA,12,Florida,0.737,0.725,0.725,0.775,,0.775,,0.8101266,0.825,0.825,0.088,0.09,0.0897858,0.0923203,0.0948419,,0.0956897,0.0970614,0.1030195,0.1036364,0.17214,0.176235,0.185334,0.176967,0.178888,0.181832,0.176751,0.181764,,0.186624,0.039283,0.032776,0.02924,,0.019372,0.0215242,0.0258742,0.0219042,0.0288106,0.02904,0.267,0.245,0.261,0.277,0.283,0.255,0.254,0.24,0.251,0.218,0.77,0.803,0.723,0.733,0.715,0.701,0.637,0.649,0.616,0.568,0.6287424,0.6220936,0.58633,0.5524824,0.5767313,0.579023,0.5625233,0.5510585,0.5726984,0.6212281,0.6003647,0.5878569,0.5496602,,0.5172769,0.4810261,0.4352543,0.4727883,,,0.0751005,0.0724503,0.0698,0.0646827,0.0595654,0.0526221,0.0456788,0.0420539,0.0384291,0.0341864,0.1132395,0.1219198,0.1306,0.1413801,0.1521601,0.1478912,0.1436222,0.1340564,0.1244907,0.1200098,0.0250156,0.054647,0.0250691,0.0379534,0.0398935,0.0349666,0.0240173,0.0481168,0.0423166,0.0390071
12,5,12005,FL,Bay County,FLORIDA,12,Florida,0.681,0.68,0.74,0.73,,0.71,,0.7903683,0.81,0.83,0.084,0.085,0.0820942,0.0818728,0.0820136,,0.0837716,0.0835665,0.082014,0.0837819,0.129105,0.133455,0.143148,0.142623,0.142072,0.14042,0.139389,0.1458,,0.153576,0.029014,0.023392,0.023256,,0.016588,0.0176748,0.0203395,0.0195714,0.0222086,0.02211,0.242,0.243,0.247,0.262,0.258,0.241,0.222,0.214,0.223,0.207,0.557,0.611,0.621,0.6,0.627,0.574,0.541,0.515,0.537,0.515,0.6210136,0.6108834,0.6024799,0.5828352,0.5833225,0.5657329,0.5984846,0.5805084,0.6133423,0.6288177,0.6280571,0.6414671,0.6129894,,0.5951827,0.6058174,0.5986825,0.5804561,,,0.0947119,0.0970559,0.0994,0.0726384,0.0458769,0.0397967,0.0337166,0.0426279,0.0515392,0.0348438,0.1387193,0.1466596,0.1546,0.1475024,0.1404049,0.1365632,0.1327216,0.132989,0.1332565,0.1257674,0.0773228,0.1101598,0.0668331,0.0594758,0.0661428,0.0632633,0.0657178,0.0613778,0.0638518,0.041893
12,9,12009,FL,Brevard County,FLORIDA,12,Florida,0.814,0.81,0.85,0.87,,0.86,,0.8612311,0.88,0.88,0.084,0.082,0.08029,0.0774278,0.0767292,,0.0769273,0.0777026,0.0789821,0.0786363,0.128652,0.134385,0.12561,0.122112,0.126968,0.132804,0.141784,0.139968,,0.141426,0.021842,0.020128,0.01904,,0.014848,0.0165018,0.0171264,0.0174302,0.0192927,0.02079,0.242,0.238,0.244,0.254,0.251,0.23,0.213,0.202,0.193,0.168,0.495,0.528,0.515,0.512,0.498,0.507,0.488,0.484,0.48,0.476,0.546087,0.5491054,0.5352011,0.5223247,0.5372109,0.5420188,0.5334438,0.516847,0.560415,0.5406246,0.5555772,0.5539079,0.5502843,,0.5585057,0.5655372,0.5514368,0.5635699,,,0.0720871,0.0687936,0.0655,0.0579958,0.0504917,0.0457989,0.0411062,0.0387817,0.0364572,0.0287056,0.1333669,0.1398335,0.1463,0.145147,0.1439939,0.1454358,0.1468777,0.1455194,0.1441611,0.1358401,0.0542179,0.0796772,0.0388603,0.0356035,0.0399626,0.0367991,0.0325257,0.0402907,0.0269361,0.0234253
