areatype,statename,year,subpop,aec_rank_ec_poverty,aec_value_ec_poverty,aec_rank_ec_employ,aec_value_ec_employ,aec_rank_ec_housing,aec_value_ec_housing,aec_rank_ec_idle,aec_value_ec_idle,aec_rank_ed_prek,aec_value_ed_prek,aec_rank_ed_read,aec_value_ed_read,aec_rank_ed_math,aec_value_ed_math,aec_rank_ed_hsgrad,aec_value_ed_hsgrad,aec_rank_hlth_lbw,aec_value_hlth_lbw,aec_rank_hlth_ins,aec_value_hlth_ins,aec_rank_hlth_death,aec_value_hlth_death,aec_rank_hlth_obese,aec_value_hlth_obese,aec_rank_hlth_drugsalc,aec_value_hlth_drugsalc,aec_rank_fc_onepar,aec_value_fc_onepar,aec_rank_fc_nohspar,aec_value_fc_nohspar,aec_rank_fc_highpov,aec_value_fc_highpov,aec_rank_fc_teenbirth,aec_value_fc_teenbirth,aec_stdzd_ec_poverty,aec_stdzd_ec_employ,aec_stdzd_ec_housing,aec_stdzd_ec_idle,aec_stdzd_ed_prek,aec_stdzd_ed_read,aec_stdzd_ed_math,aec_stdzd_ed_hsgrad,aec_stdzd_hlth_lbw,aec_stdzd_hlth_ins,aec_stdzd_hlth_death,aec_stdzd_hlth_drugsalc,aec_stdzd_fc_onepar,aec_stdzd_fc_nohspar,aec_stdzd_fc_highpov,aec_stdzd_fc_teenbirth,aec_score_ec,aec_rank_ec,aec_score_ed,aec_rank_ed,aec_score_hlth,aec_rank_hlth,aec_score_fc,aec_rank_fc,aec_score_total,aec_rank_total,mine_foodinsec_mn,mine_foodinsec_se,mine_prek_mn,mine_prek_se,mine_hsgrad_mn,mine_hsgrad_se,mine_math_mn,mine_math_se,mine_read_mn,mine_read_se,mine_obese_mn,mine_obese_se,mine_hlthfp_mn,mine_hlthfp_se,mine_lbw_mn,mine_lbw_se,mine_smoke_mn,mine_smoke_se,mine_alcohol_mn,mine_alcohol_se,mine_mj_mn,mine_mj_se,mine_tpreg_mn,mine_tpreg_se,mine_arrest_mn,mine_arrest_se,mine_housing_mn,mine_housing_se,mine_edpar_mn,mine_edpar_se,mine_mve_mn,mine_mve_se,mine_pov_mn,mine_pov_se,mine_unmar_mn,mine_unmar_se,mine_unemppar_mn,mine_unemppar_se,state_abbrev,state_fips,region,division,myindex_ind,myindex_ctxt,myindex_ind_alt,myindex_ctxt_alt,rank_myindex_ind,myindex_ind_stdzd,aecindex_stdzd,rank_mine_foodinsec_mn,rank_mine_prek_mn,rank_mine_hsgrad_mn,rank_mine_math_mn,rank_mine_read_mn,rank_mine_obese_mn,rank_mine_lbw_mn,rank_mine_hlthfp_mn,rank_mine_smoke_mn,rank_mine_mj_mn,rank_mine_arrest_mn,rank_myindex_ind_rank
2,Alabama,2000,,42,.20999999,40,.34999999,26,.25999999,43,.12,19,.50999999,8,.23,44,.83999997,42,.36000001,47,.097000003,20,.090000004,43,.00044599999,,,31,.084899999,44,.34999999,43,.2197472,42,.12,42,6.0999999,-.55211896,-1.0335083,.76873583,-1.8496795,.35059568,1.6812389,-1.9704505,-1.9332273,-1.3419091,-.31764957,-1.7456868,-.68744516,-.50204015,-1.9951135,-.57794547,-2.0829029,-2.6665709,40,-1.8718432,42,-4.0926905,42,-5.1580019,44,-3.4472766,43,.1082429161200762,.0087060353217103,.5066694,.0076045,.7383885777941793,.015686164474315,.16,.0012674166,.2300000041723251,.0012674166,.1179999932646751,.0130102038383484,.0364946080151658,.0090405040361297,.097,.0012674166,.1581,.0127040816326531,.1446,.0120918367346939,.1113919988274574,.0105602042749524,.0898,.0012674166,.030214736,.0012674166,.2570470869541168,.0023270950186998,.1369885472047216,.0026274724937984,.1889729811619144,.0211573487223033,.2203230508320831,.0031242480036642,.3055674783805225,.0033123998350846,.0406752505398078,.0015575868567042,AL,1,3,6,.76072729,.75461328,.73831242,.73613113,41,-1.8413223,-1.6540092,17,32,11,6,8,9,3,5,22,47,49,44
2,Alabama,2001,,46,.23,42,.34999999,23,.25999999,44,.12,21,.51999998,8,.22499999,46,.83999997,43,.36000001,47,.096000001,21,.090000004,45,.00046800001,,,12,.074100003,47,.37,43,.21325308,42,.12,40,5.5999999,-.9397071,-1.0335083,.76873583,-1.8496795,.20784518,1.7636948,-1.9704505,-1.9332273,-1.2627355,-.31764957,-2.0142975,-.17469653,-.87350935,-1.8592707,-.57794547,-1.7176992,-3.0541589,45,-1.9321378,43,-3.7693791,42,-5.0284247,45,-3.4460254,47,.1082429161200762,.0087060353217103,.577956312296407,.0285677323430168,.7383885777941793,.015686164474315,.1599999964237213,.0047612889,.2249999940395355,.0047612889,.123,.0127551020408163,.0459078321495962,.0068052194531537,.096,.0047612889,.1362,.0115816326530612,.1514,.0119897959183673,.116773,.0105602042749524,.0825196721311475,.0047612889,.030835001,.0047612889,.2597265819892557,.0087421694770455,.1402686648438669,.0114683892931279,.1683808770585049,.0117824600079481,.2394187420279409,.0128482374772158,.3544223236294272,.0136824754003628,.0455026981904009,.0074884676753852,AL,1,3,6,.76218969,.75310588,.74001086,.73477435,39,-1.7854277,-1.6534073,17,24,11,5,8,10,3,1,34,47,48,40
2,Alabama,2002,,46,.23999999,44,.37,21,.25999999,49,.13,21,.51999998,7,.22,47,.83999997,45,.38,46,.098999999,20,.079999998,47,.00047900001,,,7,.078500003,45,.34999999,43,.19706118,42,.12,40,5.4000001,-1.1335009,-1.4434682,.76873583,-2.2948489,.20784518,1.8461504,-1.9704505,-2.191941,-1.5002553,-.063122615,-2.1486025,-.38359419,-.50204015,-1.5205716,-.57794547,-1.5716178,-4.1030822,47,-2.1083961,46,-4.0955744,42,-4.1721749,44,-3.6198068,47,.1082429161200762,.0087060353217103,.5426034968299625,.0316558425323872,.7383885777941793,.015686164474315,.1599999964237213,.0052759736,.22,.0052759736,.1280000060796738,.0132653061300516,.0336754930309201,.0058162571284325,.099,.0052759736,.132,.0134183673469388,.1573,.0143877551020408,.1221539974212646,.0105602042749524,.0795725409836066,.0052759736,.029128058,.0052759736,.2624060756410141,.0096871796995401,.1383880086651577,.0119184281239912,.1835486781274272,.0123494019057941,.2520684818810772,.0145628103802947,.318762752467138,.0147314949847001,.047510471939723,.0068195875147726,AL,1,3,6,.76335901,.75532472,.74142963,.73740369,41,-1.7407349,-1.7370085,17,34,11,4,7.5,11,4,4,33,47,48,41
2,Alabama,2003,,44,.23999999,36,.34999999,18,.25999999,39,.11,22,.52999997,7,.22,48,.83999997,43,.34999999,47,.1,29,.1,43,.00043099999,,,3,.071424998,45,.36000001,43,.19390349,41,.12,40,5.0999999,-1.1335009,-1.0335083,.76873583,-1.40451,.065094665,1.8461504,-1.9704505,-1.80387,-1.5794289,-.57217634,-1.5625433,-.04769605,-.68777502,-1.4545197,-.57794547,-1.3524954,-2.8027835,43,-1.8630754,47,-3.7618446,39,-4.0727358,45,-3.1251099,45,.1128259781715952,.0087257343910715,.590289012121805,.0309235169219498,.7309812699835827,.0127747331965819,.16,.0051539196,.22,.0051539196,.133,.0137755102040816,.0299673569525619,.005766315925067,.1,.0051539196,.136906,.0113852040816327,.150033,.0115321428571429,.127535,.0101897959183673,.0751518442622951,.0051539196,.028785761,.0051539196,.2632328406776493,.009463076479733,.1339741745633688,.011623935501722,.1668718117303477,.0114034773026472,.2445771395649353,.0135728095330044,.3338428292837189,.0141482455860106,.0435040017541936,.0065401254480383,AL,1,3,6,.75778788,.74968213,.73538715,.73160273,47,-1.9536694,-1.4990243,12,19,8,3,7,11,4,8,26,47,46,45
2,Alabama,2004,,42,.23,36,.36000001,10,.27000001,18,.079999998,23,.52999997,6,.22,48,.85000002,45,.34999999,48,.104,17,.079999998,44,.000463,,,5,.073164999,43,.36000001,40,.17664744,41,.12,40,5.0999999,-.9397071,-1.2384886,.62891459,-.069001205,.065094665,1.8461504,-2.098386,-1.80387,-1.8961222,-.063122615,-1.9532495,-.13030563,-.68777502,-1.0935609,-.57794547,-1.3524954,-1.6182823,27,-1.9910109,45,-4.0427999,40,-3.711777,44,-2.8409674,43,.0921289935588764,.0083790788543594,.5722812981776495,.0312104745990049,.7256485000331252,.0127587191760063,.1550000011920929,.0052017458,.2199999988079071,.0052017458,.1395000070333481,.011224489659071,.0310217323479073,.0058410706483368,.104,.0052017458,.134812,.0111127551020408,.156793,.0118698979591837,.13402,.0107341836734694,.0751518442622951,.0052017458,.029124789,.0052017458,.2686164081096649,.0095508899539709,.1182993042696282,.0106785255302662,.186950591235035,.0127400330204449,.2456207533360332,.0141281243237777,.3460970868080331,.0148231237802723,.0598852757603207,.008522904223725,AL,1,3,6,.76015586,.74999058,.7378841,.73258227,48,-1.8631629,-1.3623316,21,25,5,3,6.5,9,3,8,19,41,48,45
2,Alabama,2005,,44,.25,36,.36000001,8,.27000001,40,.1,26,.54000002,6,.22,48,.85000002,41,.34,48,.107,4,.059999999,41,.00042,,,11,.079217002,46,.37,42,.17,44,.13,39,4.8000002,-1.3272951,-1.2384886,.62891459,-.95934051,-.077656694,1.8461504,-2.098386,-1.674513,-2.1336422,.44593105,-1.4282382,-.41763496,-.87350935,-.95451111,-.7589494,-1.1333734,-2.8962095,38,-2.0044055,45,-3.5335841,38,-3.7203431,45,-3.0386353,45,.0789489064173542,.0082658845661615,.5788988157074589,.0198650945605177,.7443290226839092,.0111713261018158,.15,.0033108492,.22,.0033108492,.146,.0086734693877551,.027603123356543,.0058412945868348,.107,.0033108492,.12425,.0106729591836735,.159748,.0120005102040816,.126519,.0107566326530612,.0708,.0033108492,.030023478,.0033108492,.274,.0060790273556231,.1171452017954954,.0073009940934268,.1882860651378156,.0084771228179306,.253741250692225,.0091845956686408,.3474872348628077,.0095800272563299,.0563828917148737,.0054678178871604,AL,1,3,6,.77000475,.7572462,.74854487,.74010545,47,-1.4867276,-1.4574238,37,24,6,3,6,7,3,15,21,40,47,41
2,Alabama,2006,,41,.23,40,.36000001,11,.30000001,46,.11,26,.54000002,8,.25999999,48,.83999997,43,.34,48,.105,2,.050000001,43,.00044,,,1,.07,46,.37,43,.17,44,.13,38,5.1999998,-.9397071,-1.2384886,.20945165,-1.40451,-.077656694,1.1865048,-1.9704505,-1.674513,-1.9752952,.70045781,-1.6724294,.019958209,-.87350935,-.95451111,-.7589494,-1.4255362,-3.3732541,46,-2.5361154,48,-2.9273086,36,-4.012506,45,-3.212296,45,.0586259071683017,.0079833867551439,.554453246464796,.0194209271762206,.7678852995077078,.0089443278644744,.1650000065565109,.0032368212,.2549999952316284,.0032368212,.1427499949932098,.0131377549842,.0310361195025964,.0070226056395341,.105,.0032368212,.117626,.0095632653061224,.159487,.0112122448979592,.110363,.0090984693877551,.0753,.0032368212,.027133228,.0032368212,.295,.0060790273556231,.1168170652156161,.0064831940687171,.1772749148351908,.0070975178712147,.2441117411452806,.0081407223717613,.3445109809021174,.0086311248627923,.0474138903300025,.0042887777809131,AL,1,3,6,.78658462,.76797473,.76633358,.75115019,39,-.85302728,-1.540967,46,30,8,3,8,11,3,9,20,47,47,31
2,Alabama,2007,,45,.23999999,43,.37,12,.30000001,44,.11,29,.55000001,14,.28999999,48,.81999999,43,.33000001,48,.104,15,.079999998,43,.00042,,,2,.07,46,.38,41,.16,43,.13,38,5.1999998,-1.1335009,-1.4434682,.20945165,-1.40451,-.2204072,.69177055,-1.7145814,-1.545156,-1.8961222,-.063122615,-1.4282382,.019958209,-1.0592437,-.7453329,-.7589494,-1.4255362,-3.7720275,44,-2.7883739,48,-3.3675249,39,-3.9890623,44,-3.4792471,44,.0445823088453067,.008141996869069,.5799584472723384,.0190207549219742,.7776497128120329,.0072617423641675,.18,.0031701259,.29,.0031701259,.1395,.0131377549842,.0240128837319601,.0067834953476894,.104,.0031701259,.119558,.0094948979591837,.149648,.010765306122449,.112026,.0092025510204082,.0749,.0031701259,.031884395,.0031701259,.295,.0066869300911854,.1169915002513367,.0069692415734673,.1830238627224843,.0073131965922625,.2511841075563621,.0086120677605724,.354576386890859,.0088671262643217,.0420368304046745,.0040596780817954,AL,1,3,6,.7938872,.7723763,.77479655,.75608289,36,-.57391477,-1.6693892,49,18,7,3,15.5,11,3,12,13,45,48,34
2,Alabama,2008,,40,.22,38,.30000001,12,.30000001,39,.1,29,.55000001,13,.28999999,46,.81,42,.31,48,.106,24,.079999998,43,.00039999999,,,4,.07,43,.36000001,40,.16,41,.13,40,5.0999999,-.74591303,-.0086093759,.20945165,-.95934051,-.2204072,.69177055,-1.5866467,-1.2864418,-2.0544686,-.063122615,-1.1840467,.019958209,-.68777502,-.7453329,-.7589494,-1.3524954,-1.5044112,39,-2.4017251,49,-3.2816796,43,-3.5445526,43,-2.6830921,44,.0574646668309661,.0092223049089038,.5162228445490248,.0200599425419466,.7774496025441366,.0070373734018184,.1899999976158142,.0033433237,.2849999964237213,.0033433237,.1362500041723251,.0131377549842,.0346997158019842,.0074660460353114,.106,.0033433237,.113181,.008794387755102,.130411,.0099260204081633,.10852,.0090464285714286,.0731,.0033433237,.033974301,.0033433237,.296,.0060790273556231,.1069830906121402,.006301567863162,.1699436511638404,.0074096341539206,.2291865049347228,.0082747377747956,.3293089252118434,.0087603357878328,.0443201173596543,.0042145686397122,AL,1,3,6,.79419225,.77503031,.77466059,.75924641,41,-.56225514,-1.2863824,50,26,8,3.5,13.5,12,3,5,13,44,47,32
2,Alabama,2009,,46,.25,44,.34999999,16,.33000001,33,.1,31,.56,10,.28,46,.80000001,43,.30000001,48,.103,12,.059999999,41,.00036999999,,,12,.07,46,.38999999,40,.15000001,41,.13,40,4.8000002,-1.3272951,-1.0335083,-.21001127,-.95934051,-.36315772,.85668182,-1.4587121,-1.1570848,-1.8169488,.44593105,-.81775987,.019958209,-1.244978,-.53615505,-.7589494,-1.1333734,-3.5301552,40,-2.122273,49,-2.1688192,39,-3.6734557,44,-2.8736758,46,.1060640108611713,.0118253877567933,.5671137582627298,.0189245219196296,.780389645188908,.0069187418230383,.2,.0031540869,.28,.0031540869,.133,.0112244897959184,.0369733234599833,.0078242776980705,.103,.0031540869,.104036,.0087928571428571,.126953,.009644387755102,.101094,.0088857142857143,.0692,.0031540869,.032086603,.0031540869,.326,.0066869300911854,.1051396189795093,.0065687201121746,.1721593171748033,.0071506635671842,.2497439291441059,.008326415117666,.3598768872451696,.008764151145684,.077794026776519,.0055770881572698,AL,1,3,6,.78681546,.76396579,.76696056,.74878395,44,-.84420401,-1.3780667,24,16,8,4,12,15,3,3,15,46,46,44
